current_time,temp,humidity,weather_state
2026-03-05 05:35:56,10.5,22,Clouds
2026-03-05 06:08:09,11.76,40,Haze
2026-03-05 07:09:50,10.48,36,Clouds
2026-03-05 07:55:15,10.76,46,Haze
2026-03-05 08:42:04,7.36,73,Clouds
2026-03-05 09:27:29,7.36,73,Rain
2026-03-05 10:09:11,6.76,76,Rain
2026-03-05 11:00:19,4.76,93,Rain
2026-03-05 11:42:18,3.76,93,Rain
2026-03-05 12:03:22,3.74,92,Rain
2026-03-05 13:23:30,1.86,97,Rain
2026-03-05 14:11:00,1.89,99,Rain
2026-03-05 15:06:30,0.76,100,Snow
2026-03-05 16:00:58,0.76,100,Snow
2026-03-05 18:15:28,2.22,86,Clouds
2026-03-05 19:37:46,2.6,74,Clouds
2026-03-05 20:20:07,-0.24,100,Mist
2026-03-05 20:56:36,2.67,74,Clouds
2026-03-05 21:39:56,0.76,100,Mist
